sample	gene_name	start	end	drug_class	conteo
SL200	mdeA	170.0	1525.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	20
SL200	nimA	691.0	1176.0	nitroimidazole antibiotic	12
SL200	patA	900.0	2642.0	fluoroquinolone antibiotic	130
SL200	patB	2.0	1468.0	fluoroquinolone antibiotic	38
SL200	qacG	1.0	396.0	disinfecting agents and antiseptics	1
SL200	tet(M)	703.0	1629.0	tetracycline antibiotic	25
SL200	vanW gene in vanI cluster	2.0	235.0	glycopeptide antibiotic	23
SL200	vanY gene in vanB cluster	1.0	471.0	glycopeptide antibiotic	17
SL200	vanY gene in vanG cluster	1.0	267.0	glycopeptide antibiotic	18
SL200	vanY gene in vanM cluster	1.0	195.0	glycopeptide antibiotic	36
SL200	__no_feature				579865
SL200	__ambiguous				12
SL200	__too_low_aQual				75014
SL200	__not_aligned				137827
SL200	__alignment_not_unique				0
